,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Abdsolute acceleration (m/s^2),Target
0,0.0376,0.0341,0.0466,0.0554,NoCavi
1,0.032,0.0403,0.0325,0.0654,NoCavi
2,0.0372,0.0454,0.0524,0.0726,NoCavi
3,0.0403,0.0377,0.0554,0.0567,NoCavi
4,0.0513,0.0379,0.0622,0.0262,NoCavi
5,0.0476,0.0537,0.0697,0.044,NoCavi
6,0.0835,0.0565,0.0846,0.021,NoCavi
7,0.118,0.0319,0.1051,0.0472,NoCavi
8,0.1496,0.0429,0.1419,0.0237,NoCavi
9,0.1992,0.0535,0.1887,0.0781,NoCavi
10,0.1017,0.0891,0.1843,0.0689,NoCavi
11,0.0863,0.0837,0.1702,0.0727,NoCavi
12,0.0785,0.0747,0.1626,0.0674,NoCavi
13,0.0944,0.0792,0.1876,0.0396,NoCavi
14,0.1129,0.0837,0.2363,0.0755,NoCavi
15,0.1473,0.098,0.2603,0.0522,NoCavi
16,0.1514,0.0976,0.2732,0.0484,NoCavi
17,0.1495,0.1085,0.2823,0.0234,NoCavi
18,0.1626,0.0927,0.2658,0.056,NoCavi
19,0.1534,0.0363,0.2528,0.0836,NoCavi
20,0.0065,0.0056,0.0178,0.0556,NoCavi
21,0.0053,0.0057,0.0158,0.0712,NoCavi
22,0.0103,0.0093,0.0359,0.0996,NoCavi
23,0.0083,0.0081,0.0122,0.0816,NoCavi
24,0.0079,0.0051,0.0061,0.0131,NoCavi
25,0.0049,0.0036,0.003,0.0357,NoCavi
26,0.0069,0.0036,0.0093,0.0054,NoCavi
27,0.0103,0.0117,0.0129,0.3692,NoCavi
28,0.007,0.0034,0.0076,0.0141,NoCavi
29,0.006,0.0038,0.0086,0.0583,NoCavi
30,0.005,0.0058,0.017,0.0257,NoCavi
31,0.006,0.0088,0.0187,0.0335,NoCavi
32,0.0059,0.0046,0.0333,0.034,NoCavi
33,0.0081,0.005,0.0435,0.0519,NoCavi
34,0.0078,0.0042,0.0281,0.0379,NoCavi
35,0.006,0.0043,0.0067,0.011,NoCavi
36,0.0052,0.0031,0.017,0.0406,NoCavi
37,0.01,0.0096,0.0236,0.0459,NoCavi
38,0.0054,0.0025,0.0167,0.0372,NoCavi
39,0.0062,0.0053,0.0184,0.0399,50Cavi
40,0.0036,0.0034,0.0064,0.0369,50Cavi
41,0.0073,0.0089,0.0451,0.0188,NoCavi
42,0.0087,0.0039,0.0489,0.0274,Cavi
43,0.007,0.0039,0.0132,0.0351,50Cavi
44,0.0062,0.009,0.009,0.0394,NoCavi
45,0.0056,0.0048,0.0106,0.0424,NoCavi
46,0.0061,0.0055,0.0075,0.0315,50Cavi
47,0.0084,0.0051,0.0109,0.0318,Cavi
48,0.0076,0.0053,0.0096,0.0369,50Cavi
49,0.0046,0.0023,0.0075,0.0269,Cavi
50,0.0385,0.0415,0.0711,0.0496,NoCavi
51,0.0337,0.0415,0.0658,0.0388,NoCavi
52,0.0343,0.0558,0.0801,0.0495,NoCavi
53,0.0302,0.0482,0.0708,0.0485,NoCavi
54,0.0506,0.0413,0.0882,0.039,NoCavi
55,0.0512,0.0311,0.0872,0.0452,NoCavi
56,0.0427,0.041,0.0882,0.0265,NoCavi
57,0.0428,0.0539,0.0796,0.0525,NoCavi
58,0.0489,0.0534,0.0825,0.0503,NoCavi
59,0.0445,0.0497,0.0753,0.0431,NoCavi
60,0.0462,0.0519,0.0796,0.0521,NoCavi
61,0.0539,0.054,0.0845,0.0426,NoCavi
62,0.0478,0.046,0.071,0.0496,NoCavi
63,0.0499,0.0471,0.0719,0.0406,NoCavi
64,0.0525,0.048,0.0708,0.0376,NoCavi
65,0.059,0.0547,0.0792,0.0374,NoCavi
66,0.0653,0.0533,0.0783,0.0365,NoCavi
67,0.0717,0.0504,0.076,0.0283,NoCavi
68,0.0949,0.0451,0.0959,0.0329,NoCavi
69,0.094,0.0474,0.0963,0.0246,NoCavi
70,0.1246,0.0418,0.1154,0.0265,NoCavi
71,0.1445,0.0464,0.1312,0.0329,NoCavi
72,0.1574,0.0448,0.1414,0.0374,NoCavi
73,0.1705,0.0399,0.1507,0.043,NoCavi
74,0.2338,0.0638,0.2284,0.0567,NoCavi
75,0.2388,0.0777,0.2435,0.0721,NoCavi
76,0.2188,0.0961,0.241,0.0837,NoCavi
77,0.1946,0.1017,0.2319,0.0845,NoCavi
78,0.1476,0.1013,0.2015,0.0765,NoCavi
79,0.0969,0.0933,0.1745,0.0643,NoCavi
80,0.1969,0.087,0.2156,0.0708,NoCavi
81,0.1879,0.0834,0.2031,0.0533,NoCavi
82,0.1518,0.0984,0.1813,0.0481,NoCavi
83,0.182,0.1025,0.2125,0.0717,NoCavi
84,0.1798,0.0916,0.229,0.0844,NoCavi
85,0.1752,0.0891,0.2207,0.0882,NoCavi
86,0.169,0.0805,0.2125,0.1016,NoCavi
87,0.1889,0.0727,0.2255,0.0996,NoCavi
88,0.1627,0.0718,0.2105,0.104,NoCavi
89,0.1032,0.0366,0.1323,0.057,NoCavi
90,0.0058,0.0125,0.0333,0.0332,NoCavi
91,0.0038,0.0086,0.033,0.0215,NoCavi
92,0.0044,0.0079,0.0169,0.0292,NoCavi
93,0.0062,0.0083,0.0127,0.0984,NoCavi
94,0.0048,0.0065,0.0125,0.0894,NoCavi
95,0.0051,0.0042,0.0266,0.0149,NoCavi
96,0.0043,0.0031,0.0212,0.026,NoCavi
97,0.0043,0.0027,0.0114,0.0896,NoCavi
98,0.0066,0.0046,0.0243,0.0458,NoCavi
99,0.0056,0.0025,0.0023,0.0148,NoCavi
100,0.0053,0.0033,0.0098,0.026,Cavi
101,0.0079,0.0042,0.0155,0.0248,Cavi
102,0.0066,0.0027,0.012,0.0236,Cavi
103,0.0078,0.006,0.0139,0.0208,Cavi
104,0.0065,0.0027,0.0115,0.0274,Cavi
105,0.0055,0.0026,0.0091,0.0193,Cavi
106,0.0034,0.0016,0.0082,0.0295,Cavi
107,0.0042,0.0019,0.0085,0.0345,Cavi
108,0.0042,0.0019,0.009,0.0324,Cavi
109,0.0037,0.0019,0.0078,0.0307,Cavi
110,0.0037,0.0014,0.0092,0.0264,Cavi
111,0.0031,0.0021,0.0096,0.0376,Cavi
112,0.0038,0.0018,0.0094,0.0329,Cavi
113,0.0033,0.0012,0.0083,0.0366,Cavi
114,0.0034,0.0026,0.0133,0.0534,Cavi
115,0.0055,0.005,0.0146,0.0381,Cavi
116,0.0104,0.0062,0.0167,0.011,Cavi
117,0.0042,0.003,0.0103,0.0221,Cavi
118,0.0024,0.0016,0.0087,0.0177,Cavi
119,0.0055,0.0067,0.0384,0.0235,Cavi
120,0.0108,0.0191,0.1753,0.1349,50Cavi
121,0.0155,0.0146,0.0704,0.1294,50Cavi
122,0.0146,0.0115,0.0436,0.1132,50Cavi
